org_name,ein,year,officer_comp,executive_director,title,source_url,notes
Esperanza,232552707,2017,840456,,,,
Esperanza,232552707,2018,610881,,,,
Esperanza,232552707,2019,796340,,,,
Esperanza,232552707,2020,750509,,,,
Esperanza,232552707,2021,772032,,,,
Esperanza,232552707,2022,714757,,,,
Esperanza,232552707,2023,739206,,,,
Fairmount CDC,233094818,2011,66405,,,,
Fairmount CDC,233094818,2012,0,,,,
Fairmount CDC,233094818,2013,75654,,,,
Fairmount CDC,233094818,2014,78966,,,,
Fairmount CDC,233094818,2015,60656,,,,
Fairmount CDC,233094818,2016,67494,,,,
Fairmount CDC,233094818,2017,76689,,,,
Fairmount CDC,233094818,2018,73950,,,,
Fairmount CDC,233094818,2019,71941,,,,
Fairmount CDC,233094818,2020,61075,,,,
Fairmount CDC,233094818,2021,20020,,,,
Fairmount CDC,233094818,2022,26250,,,,
Fairmount CDC,233094818,2023,65000,,,,
Frankford CDC,232738932,2011,0,,,,
Frankford CDC,232738932,2012,0,,,,
Frankford CDC,232738932,2013,0,,,,
Frankford CDC,232738932,2014,64000,,,,
Frankford CDC,232738932,2015,76000,,,,
Frankford CDC,232738932,2016,75952,,,,
Frankford CDC,232738932,2017,0,,,,
Frankford CDC,232738932,2018,0,,,,
Frankford CDC,232738932,2019,0,,,,
Frankford CDC,232738932,2020,0,,,,
Frankford CDC,232738932,2021,0,,,,
Frankford CDC,232738932,2022,0,,,,
Frankford CDC,232738932,2023,0,,,,
Germantown United CDC,453739378,2015,30000,,,,
Germantown United CDC,453739378,2016,50384,,,,
Germantown United CDC,453739378,2017,51558,,,,
Germantown United CDC,453739378,2018,53045,,,,
Germantown United CDC,453739378,2019,51471,,,,
Germantown United CDC,453739378,2020,67692,,,,
Germantown United CDC,453739378,2021,63242,,,,
Germantown United CDC,453739378,2022,73192,,,,
Germantown United CDC,453739378,2023,73000,,,,
Habitat for Humanity Philadelphia,421580163,2011,0,,,,
Habitat for Humanity Philadelphia,421580163,2012,0,,,,
Habitat for Humanity Philadelphia,421580163,2013,0,,,,
Habitat for Humanity Philadelphia,421580163,2014,0,,,,
Habitat for Humanity Philadelphia,421580163,2015,0,,,,
Habitat for Humanity Philadelphia,421580163,2016,0,,,,
Habitat for Humanity Philadelphia,421580163,2017,0,,,,
Habitat for Humanity Philadelphia,421580163,2018,0,,,,
Habitat for Humanity Philadelphia,421580163,2019,0,,,,
Habitat for Humanity Philadelphia,421580163,2020,0,,,,
Habitat for Humanity Philadelphia,421580163,2021,0,,,,
Habitat for Humanity Philadelphia,421580163,2022,0,,,,
Habitat for Humanity Philadelphia,421580163,2023,0,,,,
HumanGood East,232828862,2016,0,,,,
HumanGood East,232828862,2017,0,,,,
HumanGood East,232828862,2018,0,,,,
HumanGood East,232828862,2019,0,,,,
HumanGood East,232828862,2020,0,,,,
HumanGood East,232828862,2022,0,,,,
HumanGood East,232828862,2023,0,,,,
Impact Services Corporation,232087348,2011,380045,,,,
Impact Services Corporation,232087348,2012,411294,,,,
Impact Services Corporation,232087348,2013,312488,,,,
Impact Services Corporation,232087348,2014,528469,,,,
Impact Services Corporation,232087348,2015,502764,,,,
Impact Services Corporation,232087348,2016,675449,,,,
Impact Services Corporation,232087348,2017,557669,,,,
Impact Services Corporation,232087348,2018,610949,,,,
Impact Services Corporation,232087348,2019,0,,,,
Impact Services Corporation,232087348,2020,0,,,,
Impact Services Corporation,232087348,2021,0,,,,
