org_name,ein,year,pdf_url
Centennial Parkside CDC,474815728,2018,https://projects.propublica.org/nonprofits/download-filing?path=07_2019_prefixes_46-51%2F474815728_201812_990_2019072616526863.pdf
Centennial Parkside CDC,474815728,2017,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F474815728_201712_990_2018062115459739.pdf
Centennial Parkside CDC,474815728,2016,https://projects.propublica.org/nonprofits/download-filing?path=2017_04_EO%2F47-4815728_990_201612.pdf
Chestnut Hill CDC,274673757,2023,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2024_prefixes_20-27%2F274673757_202305_990EZ_2024030522307415.pdf
Chestnut Hill CDC,274673757,2022,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F274673757_202205_990EZ_2023060521369135.pdf
Chestnut Hill CDC,274673757,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F274673757_202105_990EZ_2022042819999151.pdf
Chestnut Hill CDC,274673757,2019,https://projects.propublica.org/nonprofits/download-filing?path=08_2020_prefixes_27-34%2F274673757_201905_990EZ_2020082017248179.pdf
Chestnut Hill CDC,274673757,2018,https://projects.propublica.org/nonprofits/download-filing?path=05_2019_prefixes_27-31%2F274673757_201805_990_2019051016286394.pdf
Chestnut Hill CDC,274673757,2017,https://projects.propublica.org/nonprofits/download-filing?path=04_2018_prefixes_27-35%2F274673757_201705_990EZ_2018042715275490.pdf
Chestnut Hill CDC,274673757,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F274673757_201605_990EZ_2017082314668979.pdf
Chestnut Hill CDC,274673757,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_07_EO%2F27-4673757_990EZ_201505.pdf
Chestnut Hill CDC,274673757,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_05_EO%2F27-4673757_990EZ_201405.pdf
Chestnut Hill CDC,274673757,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_05_EO%2F27-4673757_990EZ_201305.pdf
Chestnut Hill CDC,274673757,2012,https://projects.propublica.org/nonprofits/download-filing?path=2014_05_EO%2F27-4673757_990EZ_201205.pdf
Community of Compassion CDC,331035662,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F331035662_202112_990EZ_2023052421310957.pdf
