report_year,org_name,start_year,amount
2020,East Falls Development Corporation,2012,85000
2020,East Passyunk Avenue Improvement District,2013,85000
2020,Fairmount Community Development Corporation,2014,85000
2020,Francisville Neighborhood Development Corporation,2015,100000
2020,Frankford Community Development Corporation,2012,85000
2020,Germantown United Community Development Corporation,2019,100000
2020,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2020,Impact Services Corporation,2012,85000
2020,Mayfair Business Improvement District (BID),2020,100000
2020,Mt. Airy U.S.A.,2013,85000
2020,New Kensington Community Development Corporation,2012,85000
2020,New Manayunk Corporation,2020,100000
2020,Nicetown Community Development Corporation,2019,100000
2020,"Nueva Esperanza, Inc.",2013,85000
2020,Old City Community Fund,2017,100
2020,People’s Emergency Center CDC,2012,85000
2020,"Philabundance, HFI",2013,85000
2020,"Philadelphia Association of Community Development Corporations, NPI",2012,85000
2020,Philadelphia Chinatown Development Corporation,2014,85000
2020,"Philadelphia Local Initiatives Support Corporation, NPI",2012,85000
2020,Project H.O.M.E.,2013,85000
2020,Roxborough Development Corporation,2012,85000
2020,Schuylkill River Development Corporation (SRDC),2014,85000
2020,"SEAMAAC, Inc.",2019,100000
2020,South of South Neighborhood Association,2015,100000
2020,South Street Headhouse District Foundation,2020,100000
2020,Southwest Community Development Corporation,2012,85000
2020,Spring Garden Community Development Corporation,2013,85000
2020,Tacony Community Development Corporation,2014,85000
2020,The Allegheny West Foundation,2019,100000
2020,The Enterprise Center CDC,2020,100000
2020,The Village of Arts and Humanities,2013,85000
2020,University City District,2015,100000
