org_name,ein,title,source,url,date
Beech Interplex,521693162,Beech Companies celebrated its 25th anniversary - The Philadelphia Tribune,The Philadelphia Tribune,https://news.google.com/rss/articles/CBMizwFBVV95cUxOY1hLRWZpR294bl9Xb09YNlA5SGNQUjhKMFNDd1VmZFFIbWFTM3Rhc3d1SU1mZnY2ZGdONFVtT29KR2ljaUxoaVBuSnJ6YVVYSFotNVdseDFIbUo2RVpWRGhjZUR1X1d6S2wyd3VjdjVRUEp2ZjM2dkEycXdpdmd3UnlRdEt3SjgwTDUtczRvb0JtMGpyTURNbGxkSXRoSEludDZpd2dGM0psRklMaDUyVWotOENwbVFrNXAxblpZdGV1SkdLMEZ2QXI3S0J6clE?oc=5,2015-04-24
Beech Interplex,521693162,‘TempleTown’ off the map after Google gets complaints from Cecil B. Moore area - WHYY,WHYY,https://news.google.com/rss/articles/CBMipAFBVV95cUxPTE8tWlhFdVlhNThtVEh1SmZFblNiRlRSRWhXRXZHOENQMmRkMXB6NHZEQ3hFZ0hIQ3VmRW0yQ0pnVkI0X3pGOFNPaUVMenIwWTNOdF9NTmdUYnBxdWcyeEZmYWpqbWx2TzJVdDExYlYtcUlrYlN1T2VzakZDZUhoWXpfWG80X3luZGZwN21nVzd6RWpqb1FOd3Z1MjVWd2p2TUkxNA?oc=5,2014-09-29
Called To Serve CDC,464404323,Revival of North Philly Landmark Slams to a Halt - Hidden City Philadelphia,Hidden City Philadelphia,https://news.google.com/rss/articles/CBMijgFBVV95cUxNcmdvLUhPZ0tMNkpFWVVpWjNhT0tzLW5ZeVBBeVJzSms4eTVGXzBXQ3BOU1h6UHF4TVp0OEtXSlA2dHhidUZ0Q1FJU1NrX2kwUFZqNFM2amZROC1DOWVVbU1QOEVacDBDMi16eF8yTjN0MEdMMkFSM1NaeWJ3d041Q3phU2hEaFBRWGVDeE5B?oc=5,2024-08-16
Called To Serve CDC,464404323,"The City and its Partners, Called to Serve and PhilaWorks, to Receive Technical Assistance from the U.S. DOT’s Thriving Communities Program - City of Philadelphia (.gov)",City of Philadelphia (.gov),https://news.google.com/rss/articles/CBMib0FVX3lxTE5iUjEzQ21zZ0F1RWh5ZjZzcmFRR3RjVlZKMXlOY29URW9EcEwwX0E3OTNFWk1MUGRYQ0NLeWxpenJLcWpJcGV4Vm1YbVBnT09hSWdsd1RhNWt2cTB5bXJpTmJMZklqVXpHbUhwejRLUQ?oc=5,2024-05-20
Called To Serve CDC,464404323,Treasure Philly! Rethinks Historic Preservation in North Philadelphia - Hidden City Philadelphia,Hidden City Philadelphia,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNbzdWUElnR1NKR1lxbFRLMU5Udk5tVkN6eWR2dHRBQVRodGx2bmtzVjd6bzlXZmVQLTM5Slgzck03Q0V3MXRBRkFhSEpiQlRDUXVYR0ZRNlpyMU9MN0xzZHhVc2xOcnVqb3JZTVM0SVBELW1yZmdLejlBeENCTmh0YWRDVHBVWW1TZTBaUlI4RnRocThTT0ZCQXgwZkE3Q3Q3WUtuODJ4UUE?oc=5,2023-12-01
Called To Serve CDC,464404323,North Broad Street Church Revived with Community Impact Reuse Plan - Hidden City Philadelphia,Hidden City Philadelphia,https://news.google.com/rss/articles/CBMipgFBVV95cUxPSUZBbUNpUG0xOEcwOHBQbTJWbERieEt0YXJxUDN1cmo1X1Jsd2dJY0NPVUZYaEltekpMNE84TEZwS20zTTlmWUsyeHE0R050YWxGU2EybUs4WlBNRWw3dnNrRFpBYVNiZWFyY2xwODU3VXpKLWRLR1JHRXZHV3Y2WjZkNURQVmxFQnVOdEZ2YWp3UnAwU0hOQTFoVndVaWdOSTU0TFF3?oc=5,2022-11-18
Called To Serve CDC,464404323,"Building Together at Broad, Butler, and Germantown - City of Philadelphia (.gov)",City of Philadelphia (.gov),https://news.google.com/rss/articles/CBMiigFBVV95cUxOdXEwMlRtMmpyU01zTEh5bHhaRGNlS3docXVyUlRrWC1HdDgyTG1IUGJTY3IySUlTZFhNNXd2cEhwV3VLYjFuaHAxSnFJY095WXNMWHpHNkg2LUYzZmpwSzlkXzJzazE3cVY4Sk1fZjdJNWFMWlM0Z2RjdDVuYjNFVTBZUmQ4emx6emc?oc=5,2021-10-29
Called To Serve CDC,464404323,"Broad, Germantown, and Erie (BGE) | Programs and initiatives - City of Philadelphia (.gov)",City of Philadelphia (.gov),https://news.google.com/rss/articles/CBMibkFVX3lxTE9OOXhVRGRxLXBPczlTSGFXRjliTGRvSDdIdTh1R2MtNno4cGp1eWp2a0hacU4tRGY0bDlPenlrdXdwa2EySmhqc0lXelJlSGswbERZU0tVRWhCQjExUG95ZHZyTG05WUhfMGVwRTN3?oc=5,2020-09-23
Called To Serve CDC,464404323,"Here’s what is coming later this summer at Broad, Germantown and Erie. - City of Philadelphia (.gov)",City of Philadelphia (.gov),https://news.google.com/rss/articles/CBMipAFBVV95cUxQN2RGUzhrUHJzQWhBN1dnaUxzaWo1M3lqRVVrdmpCLVhtRnF2LV9xMUtHTWVRWm9fd09SX1lnZHFpaUZUSTdDRlRsWVJXTENaaHRkTWtaM3hQRzFIMVlLN1ZzNlZyYVdqcjlxRjRxSGxuVWZyMktNbGJDYXFpWWZMSTRXMHc3V0dKN3pJdzhLUERwVjZVNWVaWkNmM3A1elVEUjFFMA?oc=5,2020-07-29
Called To Serve CDC,464404323,"Broad, Germantown, and Erie (BGE) Project Update - City of Philadelphia (.gov)",City of Philadelphia (.gov),https://news.google.com/rss/articles/CBMihAFBVV95cUxPY2hJVzdBMDFlWUFsVXBiZGhRb3VKa0h4cHBiM0V2Q1ZZOGJfWE9YTXp3Znh5SVRpMjFzTTFFNi0yLXFPbjhIVVBOejYzVi1PNHloMzZEN29FcXdsdHFPT2JiRDIxcE9rVWFxX1llNW02MVB3OHVTVl80Tzc0azNHRmwzMWM?oc=5,2020-07-22
